id;data_init;social_reason;client_address;phone_number;quantity_for_services;price_services;total_value_services;total_iva;net_values
1;2022-06-15;RAM estatica;Lugar;Infraestructura Morado Escalinata;78406;52363;5148;79862;75071
2;2022-06-15;program SQL;Hormigon Berkshire radical;Central Sopa;8068;31806;1912;68011;36325
3;2022-06-15;program 1080p Implementado;División Rand;Account;74564;84021;83962;82892;87316
4;2022-06-15;Director arquitectura Ariary;previsión;Videojuegos Sabroso Genérico;93655;23436;32278;88319;11254
5;2022-06-15;Jefe Vía;Agente Toallas Escalinata;Agente;82749;26260;53788;39958;66616
6;2022-06-15;Electrónica neural Increible;Algodón back;compelling Account;35309;24856;40069;75705;42371
7;2022-06-15;a;Sopa;Home Barbados;88099;20149;51245;51073;86189
8;2022-06-15;reboot seamless;sticky Bedfordshire;bypassing Nakfa;71295;74769;85552;55967;5450
9;2022-06-15;navigating synergies;deposit COM;bifurcada Coche web-readiness;96704;6376;47840;53908;19650
10;2022-06-15;uniforme;Faso;XSS;52796;61535;32565;24502;17698
